Öğün,Bileşen,Miktar,Kalori (kcal),Protein (g),Karbonhidrat (g),Yağ (g),Not
Kahvaltı,Yulaf Ezmesi,60g,225,8.0,40.0,4.0,Lif Kaynağı
Kahvaltı,Muz,150g,135,1.5,35.0,0.5,Potasyum
Kahvaltı,Yumurta (Tam),5 adet,350,30.0,3.0,25.0,Tam Protein
Kahvaltı,Chia Tohumu,5g,25,1.0,2.0,1.5,Omega-3
Kahvaltı,Keten Tohumu,5g,25,1.0,1.5,2.0,Sindirim
Kahvaltı,Ham Kakao,10g,25,2.0,5.0,1.0,Pump Etkisi
Kahvaltı,Tarçın,10g,25,0.4,8.0,0.1,İnsülin Dengesi
Öğle (Post-Workout),Karabuğday (Çiğ),200g,686,26.0,143.0,6.0,Maksimum Karbo
Öğle (Post-Workout),Tavuk Göğsü (Çiğ),100g,110,23.0,0.0,2.0,Kas Onarımı
Öğle (Post-Workout),Zeytinyağı,20g,177,0.0,0.0,20.0,Sağlıklı Yağ
Öğle (Post-Workout),Yeşil/Kapya Biber,1/2 adet,20,1.0,4.0,0.0,C Vitamini
Öğle (Post-Workout),Soya Sosu,1 y.k.,5,0.0,1.0,0.0,Sodyum
Akşam,Tavuk Göğsü (Çiğ),200g,220,46.0,0.0,4.0,Gece Onarımı
Akşam,Yoğurt (Tam Yağlı),300g,185,10.0,14.0,10.0,Kazein Proteini
Akşam,Portakal,200g,95,1.8,24.0,0.2,Antioksidan
Akşam,Zeytinyağı,10g,88,0.0,0.0,10.0,Hormon Sağlığı
Akşam,Biber & Sos,Kalan,25,2.0,3.0,2.0,Tatlandırıcı
Gece,Avoya Maden Suyu + Limon,1 şişe,0,0.0,0.0,0.0,Magnezyum Desteği
